Year,Job_Title,Salary_USD,Industry,Location,Experience_Level,AI_Adoption_Level,Required_Skills,Job_Openings,Remote_Work,Growth_Rate,Company_Size,Job_Type,Gender_Diversity_Index,Hiring_Frequency,Skill_Complexity
2017,AI Researcher,123458,Retail,Austin,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",62,Hybrid,9.8,Large (>500 employees),Full-time,0.23,High,Low
2014,DL Engineer,100910,Research,New York,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",245,No,24.4,Medium (50-500 employees),Contract,0.15,High,Medium
2022,AI Researcher,98394,Healthcare,New York,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",175,Hybrid,11.0,Small (<50 employees),Part-time,0.43,High,Medium
2017,Data Scientist,103521,Manufacturing,Seattle,Senior,Low,"Python, SQL, Stats",131,Hybrid,6.4,Medium (50-500 employees),Full-time,0.43,High,Medium
2013,Data Scientist,137278,Retail,Miami,Senior,Medium,"Sales, CRM",79,No,20.9,Small (<50 employees),Contract,0.67,High,High
2022,Salesforce Consultant,75072,Education,Boston,Senior,Low,"Python, ML, AI",327,No,8.7,Large (>500 employees),Contract,0.28,High,Medium
2018,AI Engineer,67331,Healthcare,San Jose,Mid,Low,"AI, Research, TensorFlow, PyTorch",470,Hybrid,16.0,Medium (50-500 employees),Part-time,0.25,High,Medium
2012,Salesforce Administrator,70008,Retail,San Francisco,Junior,Medium,"Sales, CRM",246,Hybrid,8.5,Small (<50 employees),Part-time,0.49,Low,Low
2021,Data Scientist,83577,Healthcare,Miami,Junior,Medium,"AI, Research",274,Hybrid,3.7,Medium (50-500 employees),Full-time,0.64,Medium,Low
2010,Data Scientist,83823,Education,Houston,Senior,Low,"AI, Research",257,Yes,7.2,Medium (50-500 employees),Internship,0.89,Medium,Low
2019,ML Engineer,67075,Technology,Miami,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",103,Yes,15.8,Medium (50-500 employees),Internship,0.53,Low,Low
2019,AI Researcher,144854,Technology,San Francisco,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",357,Yes,1.5,Medium (50-500 employees),Internship,0.71,High,Medium
2023,AI Engineer,108191,Retail,Chicago,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",481,Yes,15.1,Large (>500 employees),Contract,0.47,High,High
2023,Salesforce Consultant,137177,Finance,Seattle,Senior,Low,"Python, SQL, Stats",128,Hybrid,9.2,Large (>500 employees),Full-time,0.88,High,Medium
2015,Salesforce Developer,100401,Education,Boston,Mid,Medium,"Python, ML, AI",391,Yes,17.9,Medium (50-500 employees),Part-time,0.22,High,Medium
2011,Salesforce Administrator,103714,Manufacturing,San Jose,Mid,Medium,"Python, SQL, Stats",237,Hybrid,18.3,Large (>500 employees),Part-time,0.33,High,Medium
2021,Data Scientist,84692,Technology,San Francisco,Mid,Low,"Sales, CRM",67,Yes,1.4,Medium (50-500 employees),Part-time,0.3,Low,Medium
2020,Data Scientist,85190,Technology,Boston,Mid,High,"Python, SQL, Stats",204,No,23.7,Large (>500 employees),Contract,0.82,High,Medium
2016,AI Researcher,99849,Manufacturing,Chicago,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",244,Yes,10.4,Medium (50-500 employees),Part-time,0.26,Medium,Low
2022,Data Scientist,88459,Finance,Houston,Junior,Medium,"Python, SQL, Stats",440,No,16.9,Large (>500 employees),Part-time,0.73,Medium,High
2010,ML Engineer,82338,Healthcare,Miami,Mid,Medium,"Sales, CRM, TensorFlow, PyTorch",166,Yes,15.4,Small (<50 employees),Contract,0.54,Medium,Medium
2022,AI Engineer,73922,Finance,Houston,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",444,Hybrid,6.3,Small (<50 employees),Internship,0.87,Low,Low
2023,AI Researcher,149868,Education,Miami,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",204,Hybrid,22.4,Medium (50-500 employees),Contract,0.66,High,Medium
2020,Salesforce Consultant,136200,Healthcare,Miami,Junior,Low,"Python, ML, AI",415,Yes,1.8,Large (>500 employees),Full-time,0.2,Medium,Low
2017,Data Scientist,133585,Retail,Chicago,Senior,Medium,"Python, SQL, Stats",247,No,9.8,Large (>500 employees),Full-time,0.38,Low,Medium
2018,Data Scientist,90700,Research,Boston,Junior,Low,"Python, ML, AI",118,No,12.1,Small (<50 employees),Part-time,0.54,Medium,Medium
2018,Salesforce Administrator,61679,Technology,Houston,Senior,Low,"Python, ML, AI",100,Yes,19.9,Medium (50-500 employees),Part-time,0.51,Medium,High
2019,Salesforce Consultant,66217,Research,Miami,Mid,Medium,"Python, SQL, Stats",140,Yes,6.9,Medium (50-500 employees),Full-time,0.15,High,Medium
2014,Salesforce Developer,149475,Technology,New York,Junior,Medium,"Python, SQL, Stats",382,Yes,24.3,Small (<50 employees),Internship,0.68,High,High
2023,Salesforce Administrator,78049,Retail,San Francisco,Junior,Low,"Python, ML, AI",224,No,20.4,Medium (50-500 employees),Part-time,0.41,Medium,Medium
2018,ML Engineer,137386,Healthcare,Chicago,Mid,High,"Sales, CRM, TensorFlow, PyTorch",274,No,8.7,Small (<50 employees),Contract,0.84,High,Medium
2011,AI Researcher,69950,Research,Boston,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",277,No,19.7,Large (>500 employees),Internship,1.0,Low,Low
2011,AI Researcher,117502,Retail,Chicago,Senior,Low,"AI, Research, TensorFlow, PyTorch",61,Hybrid,11.3,Small (<50 employees),Full-time,0.53,Medium,Medium
2019,AI Researcher,94489,Manufacturing,San Jose,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",480,Yes,24.4,Large (>500 employees),Contract,0.71,Low,Medium
2021,Data Scientist,109092,Education,San Jose,Junior,Medium,"AI, Research",494,Yes,13.6,Small (<50 employees),Contract,0.84,High,High
2018,AI Researcher,99944,Finance,New York,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",415,Yes,12.9,Small (<50 employees),Contract,0.85,High,Medium
2019,Salesforce Consultant,66126,Finance,Seattle,Senior,Medium,"AI, Research",50,Yes,16.4,Large (>500 employees),Contract,0.54,High,Low
2020,Salesforce Consultant,68764,Healthcare,New York,Senior,High,"Sales, CRM",275,Hybrid,8.2,Large (>500 employees),Full-time,0.71,High,High
2012,AI Researcher,135445,Healthcare,New York,Mid,High,"AI, Research, TensorFlow, PyTorch",80,Hybrid,11.8,Large (>500 employees),Contract,0.25,Medium,High
2013,AI Researcher,91675,Retail,New York,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",304,Hybrid,13.1,Small (<50 employees),Internship,0.5,High,Low
2010,Data Scientist,130786,Finance,Boston,Senior,High,"Python, ML, AI",96,Hybrid,17.4,Small (<50 employees),Full-time,0.38,Medium,Low
2024,DL Engineer,94928,Retail,New York,Senior,High,"Python, ML, AI, TensorFlow, PyTorch",227,No,24.4,Small (<50 employees),Internship,0.78,High,High
2012,ML Engineer,95773,Retail,New York,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",371,Yes,3.8,Small (<50 employees),Full-time,0.69,High,Medium
2015,Data Scientist,87536,Education,Seattle,Junior,High,"Sales, CRM",352,Hybrid,12.6,Small (<50 employees),Full-time,0.64,High,High
2010,DL Engineer,88473,Retail,Austin,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",470,Hybrid,13.0,Large (>500 employees),Internship,0.15,High,High
2015,DL Engineer,97869,Research,San Francisco,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",182,Hybrid,11.9,Large (>500 employees),Internship,0.26,High,Medium
2014,ML Engineer,96475,Finance,Miami,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",410,Yes,3.9,Small (<50 employees),Internship,0.19,Medium,Medium
2023,Data Scientist,89077,Manufacturing,Chicago,Senior,Low,"Python, SQL, Stats",145,No,23.1,Medium (50-500 employees),Internship,0.42,High,High
